1712,1470.00,30.00,49,China,2019-08-31 08:14:28+10,120061653,16
1713,1760.00,20.00,88,China,2019-07-21 03:34:47+10,478555114,19
1714,6200.00,20.00,310,USA,2020-10-15 08:40:33+11,784338748,15
1715,1840.00,20.00,92,Australia,2020-10-17 20:52:20+11,804295008,17
1716,8480.00,20.00,424,USA,2020-12-23 22:34:23+11,723567310,15
1717,2070.00,45.00,46,China,2019-01-31 20:00:15+11,524427510,20
1718,2610.00,30.00,87,USA,2019-03-12 09:44:32+11,537183707,16
1719,17550.00,45.00,390,Australia,2019-01-09 17:50:40+11,786439526,20
574,164.70,2.70,61,UK,2020-06-23 06:19:05+10,802103545,8
575,816.90,2.10,389,Korea,2020-04-29 09:21:39+10,203079834,3
576,48.30,2.10,23,Australia,2019-10-04 11:05:31+10,641922983,3
577,534.60,2.70,198,Japan,2020-10-31 19:40:50+11,902505227,8
578,562.80,2.10,268,Australia,2020-07-19 19:54:41+10,656844145,3
579,1264.40,2.90,436,Korea,2020-08-31 20:59:16+10,589879856,10
580,347.60,2.20,158,UK,2019-08-26 15:51:45+10,130230880,2
581,752.40,2.20,342,UK,2020-11-24 22:17:09+11,388338328,2
582,1062.60,2.30,462,Korea,2019-12-23 01:38:25+11,59900970,4
583,894.40,2.60,344,Australia,2020-01-19 12:12:28+11,979141965,7
584,1065.00,2.50,426,Japan,2020-01-15 09:37:13+11,889025971,6
585,577.10,2.90,199,UK,2019-12-07 07:32:34+11,153040874,10
586,915.40,2.30,398,Japan,2019-06-15 06:49:34+10,975839529,4
587,79.80,2.10,38,Japan,2020-08-10 06:45:48+10,340466462,3
588,1271.20,2.80,454,USA,2019-05-18 08:03:41+10,120522031,9
589,393.60,2.40,164,USA,2019-08-23 10:51:03+10,498951279,5
590,257.50,2.50,103,USA,2020-07-06 12:19:25+10,750557075,6
591,288.40,2.80,103,USA,2020-11-10 09:28:39+11,147191651,9
592,342.20,2.90,118,Japan,2019-09-23 16:09:32+10,92456617,10
593,978.60,2.10,466,Korea,2019-12-24 02:15:06+11,627062160,3
594,800.80,2.60,308,Australia,2019-05-16 00:33:30+10,42490452,7
595,941.60,2.20,428,Korea,2020-05-03 09:21:51+10,435022498,2
596,236.90,2.30,103,China,2019-06-05 23:21:20+10,163608178,4
597,754.00,2.90,260,Australia,2020-10-04 04:34:01+11,749964076,10
598,663.60,2.80,237,USA,2020-08-09 01:29:28+10,534400717,9
599,501.70,2.90,173,China,2020-12-08 04:47:58+11,825473592,10
600,317.40,2.30,138,UK,2019-09-17 08:48:08+10,12119192,4
601,515.20,2.30,224,New Zealand,2019-06-16 10:20:49+10,894317843,4
602,73.50,2.10,35,China,2019-02-26 13:26:46+11,651113816,1
603,57.50,2.30,25,Australia,2020-08-27 03:42:59+10,33690344,4
604,1046.90,2.90,361,UK,2020-10-15 01:37:05+11,878777429,10
605,628.80,2.40,262,Korea,2019-04-20 17:06:16+10,717763938,5
606,495.60,2.80,177,USA,2019-02-09 18:32:40+11,521156626,9
607,89.70,2.30,39,Japan,2019-01-03 22:55:22+11,189458780,4
608,640.50,2.10,305,China,2020-09-06 16:39:18+10,771004061,3
609,100.80,2.80,36,Korea,2020-05-12 20:36:41+10,367095308,9
610,748.00,2.20,340,Japan,2019-06-07 22:08:46+10,917521504,2
611,1186.10,2.90,409,UK,2020-05-14 14:42:38+10,390698963,10
612,780.00,2.40,325,China,2019-03-02 19:26:18+11,985668572,5
613,976.50,2.10,465,Japan,2020-09-14 02:23:20+10,799825819,3
614,904.80,2.60,348,Australia,2020-02-29 00:46:17+11,939336797,7
615,510.00,2.50,204,Korea,2020-05-04 03:20:53+10,956833492,6
616,678.30,2.10,323,New Zealand,2019-12-08 01:16:36+11,49575131,3
617,677.60,2.20,308,New Zealand,2020-08-11 21:04:24+10,292483388,2
618,729.00,2.70,270,China,2019-06-19 08:38:35+10,566245092,8
619,307.80,2.70,114,New Zealand,2020-03-18 08:08:18+11,406835085,8
620,1214.20,2.60,467,Australia,2019-12-19 06:18:09+11,423389116,7
621,848.40,2.80,303,New Zealand,2019-11-19 12:33:39+11,259865571,9
622,487.50,2.50,195,New Zealand,2020-07-12 04:41:04+10,426719396,6
623,112.80,2.40,47,Japan,2020-10-27 20:12:19+11,193407306,5
624,367.40,2.20,167,New Zealand,2020-09-02 09:06:50+10,965799135,2
625,874.80,2.70,324,Japan,2019-01-27 10:11:56+11,164254605,8
626,967.20,2.60,372,New Zealand,2019-07-10 14:26:48+10,268242542,7
627,56.70,2.10,27,China,2020-02-06 14:49:59+11,177009512,1
628,270.00,2.50,108,Korea,2020-09-07 13:21:16+10,457727661,6
629,552.30,2.10,263,China,2019-07-22 02:39:28+10,186522985,3
630,1342.70,2.90,463,USA,2020-09-22 06:21:48+10,834665705,10
631,407.40,2.10,194,New Zealand,2019-01-08 19:41:45+11,432885966,1
632,658.30,2.90,227,Korea,2020-07-05 00:20:53+10,18561207,10
633,1146.60,2.60,441,USA,2019-08-01 11:32:32+10,417832861,7
634,522.50,2.50,209,China,2020-08-13 14:10:03+10,719638345,6
635,259.20,2.70,96,UK,2019-10-10 08:03:17+11,774990408,8
636,290.00,2.90,100,Australia,2019-03-24 05:32:56+11,789880844,10
637,529.20,2.10,252,Japan,2019-08-31 21:53:52+10,107758625,3
638,246.40,2.80,88,Australia,2020-02-07 05:18:47+11,854885397,9
639,400.40,2.80,143,Japan,2019-05-20 10:36:46+10,948149240,9
640,938.70,2.10,447,Australia,2020-05-31 16:12:18+10,174586790,1
641,1120.00,2.80,400,USA,2019-05-14 05:13:13+10,166228300,9
642,1184.40,2.80,423,Australia,2019-08-16 00:16:51+10,404989328,9
643,836.00,2.20,380,Australia,2019-06-29 04:45:24+10,735849287,2
644,197.80,2.30,86,Australia,2019-08-07 06:25:29+10,393211079,4
645,679.80,2.20,309,UK,2019-03-21 07:20:20+11,106938600,2
646,212.10,2.10,101,USA,2020-01-04 05:12:17+11,836980793,1
647,310.00,2.50,124,USA,2019-09-06 18:50:09+10,670068595,6
648,455.70,2.10,217,Japan,2020-06-08 22:26:33+10,59103413,1
649,494.50,2.30,215,Australia,2019-03-23 23:26:49+11,28019096,4
650,507.60,2.70,188,China,2020-06-18 11:13:28+10,629451646,8
651,1377.50,2.90,475,Australia,2020-08-08 03:12:23+10,460492646,10
652,1062.60,2.30,462,Korea,2020-05-25 23:30:54+10,158587758,4
653,341.60,2.80,122,USA,2020-03-15 11:46:03+11,621228036,9
654,261.90,2.70,97,USA,2020-08-17 10:20:29+10,381658035,8
655,462.00,2.80,165,China,2020-10-26 09:07:55+11,542001159,9
656,285.60,2.10,136,UK,2019-11-18 17:43:22+11,577084879,1
657,712.80,2.70,264,China,2020-08-01 13:14:31+10,590747891,8
658,322.50,2.50,129,New Zealand,2019-12-23 23:04:47+11,436162246,6
659,231.00,2.10,110,Australia,2019-04-23 16:21:45+10,620873130,1
660,1118.40,2.40,466,Japan,2019-12-10 09:07:56+11,613803545,5
661,269.70,2.90,93,UK,2020-08-24 04:47:42+10,905523714,10
662,663.60,2.10,316,Japan,2019-08-03 14:32:51+10,475848839,3
663,75.00,2.50,30,Japan,2019-07-01 09:46:06+10,111965975,6
